Science,ما هو أكبر محيط في العالم؟,المحيط الهادئ,المحيط الأطلسي,المحيط الهندي,المحيط الهادئ
Science,كم عدد العظام في جسم الإنسان؟,205,206,207,206
Science,ما هو أسرع حيوان بري؟,الفهد,الأسد,النمر,الفهد
Science,ما هو أكبر حيوان في العالم؟,الفيل,الحوت الأزرق,الزرافة,الحوت الأزرق
Science,ما هو أعمق محيط في العالم؟,المحيط الهادئ,المحيط الأطلسي,المحيط الهندي,المحيط الهادئ
Science,ما هو أعمق بحيرة في العالم؟,بحيرة بايكال,بحيرة تنجانيقا,بحيرة سوبيريور,بحيرة بايكال
Science,كم عدد العضلات في جسم الإنسان؟,600,639,700,639
Science,ما هو أسرع حيوان بحري؟,الدلفين,سمك التونة,سمك المارلين,سمك المارلين
Science,ما هو أقدم حيوان على وجه الأرض؟,التمساح,السلحفاة,قنديل البحر,قنديل البحر
Science,ما هي وحدة قياس التيار الكهربائي؟,فولت,أوم,أمبير,أمبير
Science,ما هو أسرع حيوان بري؟,الفيل الأفريقي,وحيد القرن,الفيل الأفريقي
Science,ما هو أطول حيوان في العالم؟,الحوت الأزرق,الحوت القاتل,الحوت الأزرق
Science,ما هو أذكى حيوان في العالم؟,الدلفين,الشمبانزي,الدلفين
Science,ما هو أسرع طائر في العالم؟,الصقر,النسر,الصقر
Science,ما هو أكبر طائر في العالم؟,النعامة,النسر,النعامة
Science,ما هو أطول ثعبان في العالم؟,الأناكوندا,البايثون,الأناكوندا
Science,ما هو أكبر عنكبوت في العالم؟,عنكبوت جالوت,عنكبوت الرتيلاء,عنكبوت جالوت
History,من هو مؤسس الدولة الأموية؟,معاوية بن أبي سفيان,عبد الملك بن مروان,هشام بن عبد الملك,معاوية بن أبي سفيان
History,ما هي أقدم جامعة في العالم؟,الأزهر,القرويين,الزيتونة,القرويين
History,من هو مكتشف أمريكا؟,كريستوفر كولومبوس,فاسكو دا جاما,ماركو بولو,كريستوفر كولومبوس
History,في أي عام بدأت الحرب العالمية الأولى؟,1914,1915,1916,1914
History,ما هي أقدم حضارة في العالم؟,الفرعونية,السومرية,البابلية,السومرية
History,ما هو أقدم نظام كتابة في العالم؟,الهيروغليفية,المسمارية,الصينية,المسمارية
History,كم عدد اللغات الرسمية في الأمم المتحدة؟,4,5,6,6
History,من هو مؤسس علم الجبر؟,الخوارزمي,ابن سينا,الفارابي,الخوارزمي
History,ما هي أقدم مكتبة في العالم؟,مكتبة الإسكندرية,مكتبة آشوربانيبال,مكتبة بيت الحكمة,مكتبة آشوربانيبال
Geography,ما هو أطول نهر في العالم؟,نهر النيل,نهر الأمازون,نهر المسيسيبي,نهر النيل
Geography,ما هي أكبر جزيرة في العالم؟,جرينلاند,مدغشقر,بورنيو,جرينلاند
Geography,ما هي أعلى قمة في العالم؟,كليمنجارو,إيفرست,كينابالو,إيفرست
Geography,ما هي أكبر صحراء في العالم؟,الصحراء الكبرى,صحراء غوبي,صحراء الربع الخالي,الصحراء الكبرى
Geography,ما هي أكبر قارة في العالم؟,أفريقيا,آسيا,أوروبا,آسيا
Geography,ما هو أعمق خندق في المحيط؟,خندق ماريانا,خندق تونغا,خندق الفلبين,خندق ماريانا
Geography,ما هي أكبر شبه جزيرة في العالم؟,شبه الجزيرة العربية,شبه جزيرة الهند,شبه جزيرة إيبيريا,شبه الجزيرة العربية
Geography,ما هو أطول نفق في العالم؟,نفق غوتهارد,نفق سيكان,نفق المانش,نفق غوتهارد
Geography,ما هي أكبر صحراء في آسيا؟,صحراء غوبي,صحراء الربع الخالي,صحراء ثار,صحراء غوبي
Geography,ما هو أطول جسر في العالم؟,جسر دانيانغ-كونشان,جسر هونغ كونغ,جسر أكاشي كايكيو,جسر دانيانغ-كونشان
Sports,ما هي رياضة كرة القدم؟,كرة السلة,كرة القدم,كرة الطائرة,كرة القدم
Sports,كم عدد اللاعبين في فريق كرة القدم؟,10,11,12,11
Sports,ما هي رياضة التنس؟,كرة الطائرة,التنس,الريشة,التنس
Sports,كم عدد اللاعبين في فريق كرة السلة؟,4,5,6,5
Sports,ما هي رياضة السباحة؟,برية,مائية,هوائية,مائية
Sports,كم عدد اللاعبين في فريق كرة الطائرة؟,5,6,6
Sports,كم عدد اللاعبين في فريق كرة اليد؟,6,7,7
Sports,كم عدد اللاعبين في فريق الهوكي؟,5,6,6
Sports,كم عدد اللاعبين في فريق البيسبول؟,8,9,9
Sports,كم عدد اللاعبين في فريق الكريكيت؟,10,11,11
Sports,كم عدد اللاعبين في فريق الرجبي؟,14,15,15
Sports,كم عدد اللاعبين في فريق كرة الماء؟,6,7,7
Sports,كم عدد اللاعبين في فريق كرة القدم الأمريكية؟,10,11,11
Tech,ما هو نظام تشغيل الهواتف الذكية؟,ويندوز,أندرويد,أندرويد
Tech,ما هي شركة آبل؟,مايكروسوفت,آبل,آبل
Tech,ما هو متصفح الإنترنت؟,فوتوشوب,كروم,كروم
Tech,ما هو برنامج معالجة النصوص؟,إكسل,وورد,وورد
Tech,ما هي شبكة يوتيوب؟,تواصل اجتماعي,فيديو,فيديو
Tech,ما هو برنامج الجداول الحسابية؟,وورد,إكسل,إكسل
Tech,ما هو برنامج العروض التقديمية؟,باوربوينت,وورد,باوربوينت
Tech,ما هي شبكة فيسبوك؟,تواصل اجتماعي,بريد إلكتروني,تواصل اجتماعي
Tech,ما هي شبكة تويتر؟,تواصل اجتماعي,بريد إلكتروني,تواصل اجتماعي
Cinema,ما هي شركة ديزني؟,نيتفليكس,ديزني,ديزني
Cinema,ما هي شركة نيتفليكس؟,ديزني,نيتفليكس,نيتفليكس
Cinema,من هو مخرج فيلم تيتانيك؟,سبيلبرغ,كاميرون,كاميرون
Cinema,من هو مخرج فيلم الأسد الملك؟,كاميرون,سبيلبرغ,سبيلبرغ
Cinema,ما هو فيلم الرسوم المتحركة؟,الأسد الملك,تيتانيك,الأسد الملك
Cinema,ما هو فيلم الخيال العلمي؟,تيتانيك,ستار وورز,ستار وورز
Cinema,من هو بطل فيلم هاري بوتر؟,توم كروز,دانيال رادكليف,دانيال رادكليف
Cinema,من هو بطل فيلم سبارتاكوس؟,كروز,كيرك دوغلاس,كيرك دوغلاس
Cinema,من هو بطل فيلم تيتانيك؟,ليوناردو,توم كروز,ليوناردو
Cinema,من هو بطل فيلم الأسد الملك؟,سيمبا,موفاسا,سيمبا
Artists,من هو فنان لوحة الموناليزا؟,فان غوخ,دافنشي,دافنشي
Artists,من هو فنان لوحة العشاء الأخير؟,بيكاسو,دافنشي,دافنشي
Artists,من هو مغني أغنية Thriller؟,أديل,مايكل جاكسون,مايكل جاكسون
Artists,من هو مغني أغنية Yesterday؟,مايكل جاكسون,البيتلز,البيتلز
Artists,من هو مؤلف سمفونية القدر؟,بيتهوفن,موتسارت,بيتهوفن
Artists,من هو مؤلف سمفونية البيانو؟,بيتهوفن,موتسارت,موتسارت
Artists,من هو رسام لوحة ليلة النجوم؟,بيكاسو,فان غوخ,فان غوخ
Artists,من هو رسام لوحة الموناليزا؟,فان غوخ,دافنشي,دافنشي
Artists,من هو مغني أغنية Hello؟,مايكل جاكسون,أديل,أديل
Artists,من هو مغني أغنية Shape of You؟,أديل,إد شيران,إد شيران
Political,من هو رئيس الولايات المتحدة الحالي؟,بايدن,ترامب,بايدن
Political,ما هي عاصمة روسيا؟,كييف,موسكو,موسكو
Political,من هو رئيس مصر الحالي؟,السيسي,مرسي,السيسي
Political,من هو رئيس فرنسا؟,ماكرون,ميركل,ماكرون
Political,ما هي عاصمة الصين؟,طوكيو,بكين,بكين
Political,ما هي عاصمة السعودية؟,الرياض,جدة,الرياض
Political,من هو رئيس تركيا؟,أردوغان,بوتين,أردوغان
Political,ما هي عاصمة الإمارات؟,دبي,أبو ظبي,أبو ظبي
Political,من هو رئيس ألمانيا؟,ميركل,شتاينماير,شتاينماير
Political,من هو رئيس بريطانيا؟,بوريس جونسون,ريشي سوناك,ريشي سوناك
Countries,ما هي أكبر دولة في العالم؟,كندا,روسيا,روسيا
Countries,ما هي عاصمة مصر؟,دمشق,القاهرة,القاهرة
Countries,ما هي عاصمة المغرب؟,الدار البيضاء,الرباط,الرباط
Countries,ما هي عملة اليابان؟,الين,اليورو,الين
Countries,ما هي عملة السعودية؟,الريال,الدينار,الريال
Countries,ما هي لغة البرازيل؟,الإسبانية,البرتغالية,البرتغالية
Countries,ما هي لغة مصر؟,الإنجليزية,العربية,العربية
Countries,ما هي عاصمة ألمانيا؟,ميونخ,برلين,برلين
Countries,ما هي عاصمة إيطاليا؟,ميلانو,روما,روما
General,ما هو لون السماء في يوم صافٍ؟,أحمر,أزرق,أزرق
General,كم عدد القارات في العالم؟,5,7,7
General,كم عدد الكواكب في المجموعة الشمسية؟,8,9,8
General,ما هو أطول نهر في العالم؟,نهر النيل,نهر الأمازون,نهر النيل
General,ما هو أبرد قارة في العالم؟,أفريقيا,أنتاركتيكا,أنتاركتيكا
General,ما هي عاصمة إيطاليا؟,باريس,روما,روما
General,ما هو لون القمر؟,أبيض,أحمر,أبيض
General,ما هو أكبر محيط في العالم؟,المحيط الهادئ,المحيط الأطلسي,المحيط الهادئ
General,ما هو أعمق محيط في العالم؟,المحيط الهادئ,المحيط الأطلسي,المحيط الهادئ
General,ما هو أطول جسر في العالم؟,جسر دانيانغ-كونشان,جسر هونغ كونغ,جسر دانيانغ-كونشان 
